,CASE_STATUS,EMPLOYER_NAME,SOC_NAME,JOB_TITLE,FULL_TIME_POSITION,PREVAILING_WAGE,YEAR,WORKSITE,lon,lat
24,CERTIFIED,UC UNIVERSITY HIGH SCHOOL EDUCATION INC.,CHIEF EXECUTIVES,CHIEF FINANCIAL OFFICER,Y,99986,2016,"CHULA VISTA, CALIFORNIA",-117.0841955,32.6400541
28,CERTIFIED,HELLO INC.,CHIEF EXECUTIVES,CHIEF BUSINESS OFFICER,Y,215862,2016,"SAN FRANCISCO, CALIFORNIA",-122.4194155,37.7749295
30,CERTIFIED,"PERSPECTIVES OF FREEDOM FOUNDATION, INC",CHIEF EXECUTIVES,EXECUTIVE DIRECTOR,Y,95295.98,2016,"WESTON, FLORIDA",-80.3997748,26.1003654
31,CERTIFIED,GTH INC.,CHIEF EXECUTIVES,"VICE PRESIDENT, BUSINESS DEVELOPMENT",Y,149594,2016,"WASHINGTON, DISTRICT OF COLUMBIA",-77.0368707,38.9071923
32,CERTIFIED,THE KRAFT HEINZ COMPANY,CHIEF EXECUTIVES,HEAD OF US SALES,Y,226699,2016,"CHICAGO, ILLINOIS",-87.6297982,41.8781136
35,CERTIFIED,"FINLAY EXTRACTS & INGREDIENTS USA, INC.",CHIEF EXECUTIVES,VICE PRESIDENT OF OPERATIONS,Y,98550,2016,"LINCOLN, RHODE ISLAND",-71.4418101,41.9110123
37,CERTIFIED,LABEL INSIGHT,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,130853,2016,"CHICAGO, ILLINOIS",-87.6297982,41.8781136
38,CERTIFIED,INN AT THE WICKLIFFE LLC,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,N,52416,2016,"WICKLIFFE, OHIO",-81.4534492,41.6053266
39,CERTIFIED,"DURHAM SCHOOL SERVICES, LP",CHIEF EXECUTIVES,"VICE PRESIDENT, FINANCE AND OPERATIONS ANALYSIS",Y,130853,2016,"WARRENVILLE, ILLINOIS",-88.1734021,41.817807
42,CERTIFIED,"SOFTTEK INTEGRATION SYSTEMS, INC.",CHIEF EXECUTIVES,ACCOUNT DIRECTOR,Y,130853,2016,"NORTHBROOK, ILLINOIS",-87.8289548,42.1275267
43,CERTIFIED,"SPARITY, INC.",CHIEF EXECUTIVES,TECHNICAL DIRECTOR,Y,102190,2016,"ALPHARETTA, GEORGIA",-84.2940899,34.0753762
44,CERTIFIED,"ADCONION DIRECT, INC.",CHIEF EXECUTIVES,VICE PRESIDENT OF OPERATIONS,Y,197683,2016,"SOLANA BEACH, CALIFORNIA",-117.2711481,32.991155
46,CERTIFIED,"THE CHICAGO ATHENAEUM: CENTER FOR ARCHITECTURE, DESIGN & URBAN STUDIES",CHIEF EXECUTIVES,EXECUTIVE DIRECTOR,N,54766,2016,"GALENA, ILLINOIS",NA,NA
47,CERTIFIED,MED ADVANTAGE LLC,CHIEF EXECUTIVES,CHIEF FINANCIAL OFFICER,Y,187200,2016,"BLOOMFIELD, NEW JERSEY",-74.1854209,40.8067546
49,CERTIFIED,"STRATEGISM, INC.",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,155459.2,2016,"FREMONT, CALIFORNIA",-121.9885719,37.5482697
53,CERTIFIED,"PAXTERRA SOLUTIONS, INC.",CHIEF EXECUTIVES,"ASSISTANT VICE PRESIDENT, BUSINESS DEVELOPMENT",Y,102190,2016,"JOHNS CREEK, GEORGIA",-84.198579,34.0289259
55,CERTIFIED,VARIANTYX INC.,CHIEF EXECUTIVES,CHIEF INFORMATION OFFICER,Y,164403,2016,"ASHLAND, MASSACHUSETTS",NA,NA
56,CERTIFIED,NATURAL AMERICAN FOODS INC.,CHIEF EXECUTIVES,VICE PRESIDENT OF QUALITY,Y,145829,2016,"ONSTED, MICHIGAN",NA,NA
62,CERTIFIED,"SENSORHOUND, INC.",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER AND RESEARCH SCIENTIST,Y,76752,2016,"WEST LAFAYETTE, INDIANA",-86.9080655,40.4258686
64,CERTIFIED,MAX PLANCK FLORIDA CORPORATION,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,187200,2016,"JUPITER, FLORIDA",-80.0942087,26.9342246
65,CERTIFIED,MAX PLANCK FLORIDA CORPORATION,CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,226616,2016,"JUPITER, FLORIDA",-80.0942087,26.9342246
67,CERTIFIED,"HBN MEDIA, INC.",CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,198266,2016,"MARIETTA, GEORGIA",-84.5499327,33.952602
68,CERTIFIED,ADVENTIST HEALTH SYSTEM SUNBELT,CHIEF EXECUTIVES,REGIONAL CHIEF MEDICAL INFORMATION OFFICER,Y,221541,2016,"ALTAMONTE SPRINGS, FLORIDA",-81.3656242,28.6611089
74,CERTIFIED,RIVIAN AUTOMOTIVE LLC,CHIEF EXECUTIVES,CHIEF STRATEGY OFFICER,Y,194875,2016,"LIVONIA, MICHIGAN",-83.3527097,42.36837
81,CERTIFIED,HARIBOO FOOD 2004 INC,CHIEF EXECUTIVES,VP MARKETING (IMPORT/EXPORT,Y,159369.6,2016,"HIALEAH, FLORIDA",-80.2781057,25.8575963
84,CERTIFIED,TOTAL CIVIL CONSTRUCTION & ENGINEERING LLC,CHIEF EXECUTIVES,VICE PRESIDENT,Y,103480,2016,"LANHAM, MARYLAND",-76.8620327,38.9685112
85,CERTIFIED,FYBR LLC,CHIEF EXECUTIVES,CHIEF TECHNOLOGY OFFICER,Y,151507,2016,"CHESTERFIELD, MISSOURI",-90.5770675,38.6631083
86,CERTIFIED,TOTAL CIVIL CONSTRUCTION & ENGINEERING LLC,CHIEF EXECUTIVES,VICE PRESIDENT,Y,103480,2016,"LANHAM, MARYLAND",-76.8620327,38.9685112
87,CERTIFIED,"GREENLAM AMERICA, INC.",CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,159370,2016,"DORAL, FLORIDA",-80.3553302,25.8195424
90,CERTIFIED,"RINA SYSTEMS, LLC",CHIEF EXECUTIVES,CHIEF FINANCIAL OFFICER,Y,155958,2016,"CINCINNATI, OHIO",-84.5120196,39.1031182
95,CERTIFIED,HARBAR LLC,CHIEF EXECUTIVES,CFO & VP BUSINESS DEVELOPMENT,Y,254821,2016,"CANTON, MASSACHUSETTS",-71.1447732,42.1584324
98,CERTIFIED,SD MANAGEMENT GROUP LLC,CHIEF EXECUTIVES,CHIEF SUSTAINABILITY OFFICER,N,17264,2016,"CHARLOTTESVILLE, VIRGINIA",-78.4766781,38.0293059
105,CERTIFIED,ONMOBILE USA LLC,CHIEF EXECUTIVES,SENIOR VP - GLOBAL CONTENT AND MULTI-MEDIA STRATEGY,Y,210122,2016,"SANTA MONICA, CALIFORNIA",-118.4911912,34.0194543
108,CERTIFIED,"CORO INVESTMENTS, LP",CHIEF EXECUTIVES,"VICE PRESIDENT, USA OPERATIONS",Y,103480,2016,"RESTON, VIRGINIA",-77.3570028,38.9586307
115,CERTIFIED,"ASTELLAS PHARMA US, INC.",CHIEF EXECUTIVES,"EXECUTIVE DIRECTOR, INTERNATIONAL BUSINESS",Y,226699,2016,"NORTHBROOK, ILLINOIS",-87.8289548,42.1275267
116,CERTIFIED,STRYKER CORPORATION,CHIEF EXECUTIVES,"VP, GLOBAL IT GOVERNANCE & PERFORMANCE MEASUREMENT",Y,189862,2016,"KALAMAZOO, MICHIGAN",-85.5872286,42.2917069
118,CERTIFIED,NORTHWELL HEALTH,CHIEF EXECUTIVES,VP INTERNATIONAL BUSINESS DEVELOPMENT,Y,252429,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
119,CERTIFIED,HARIBO FOOD 2004 INC,CHIEF EXECUTIVES,VP MARKETING (IMPORT/EXPORT),Y,159369.6,2016,"HIALEAH, FLORIDA",-80.2781057,25.8575963
120,CERTIFIED,UGAM SOLUTIONS SEZ PVT. LTD,CHIEF EXECUTIVES,ASSISTANT VICE PRESIDENT,Y,102190,2016,"ATLANTA, GEORGIA",-84.3879824,33.7489954
121,CERTIFIED,"PREVEIL, LLC",CHIEF EXECUTIVES,CHIEF TECHNICAL OFFICER,Y,155459.2,2016,"BERKELEY, CALIFORNIA",-122.272747,37.8715926
122,CERTIFIED,AMERICAN PUBLIC TRANSPORTATION ASSOCIATION,CHIEF EXECUTIVES,CHIEF OF STAFF,Y,195728,2016,"WASHINGTON, DISTRICT OF COLUMBIA",-77.0368707,38.9071923
124,CERTIFIED,MILK SPECIALTIES GLOBAL,CHIEF EXECUTIVES,"VICE PRESIDENT, INTERNATIONAL SALES, HUMAN NUTRITION",Y,146300,2016,"EDEN PRAIRIE, MINNESOTA",-93.470786,44.8546856
130,CERTIFIED,RIGHTSIDE OPERATING CO,CHIEF EXECUTIVES,"ELECTRICAL ENGINEER, CHIEF TECHNOLOGY OFFICER",Y,229133,2016,"KIRKLAND, WASHINGTON",-122.2059833,47.6768927
131,CERTIFIED,ENGINE CONTROL SYSTEMS LIMITED,CHIEF EXECUTIVES,VICE PRESIDENT OF RESEARCH AND ENGINEERING,Y,106933,2016,"OXNARD, CALIFORNIA",-119.1770516,34.1975048
132,CERTIFIED,"SHIRE PHARMACEUTICALS, LLC",CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,254821,2016,"LEXINGTON, MASSACHUSETTS",-71.2289641,42.4430372
135,CERTIFIED,"FINCH PAPER, LLC",CHIEF EXECUTIVES,"VICE PRESIDENT, FORESTRY & WOOD PROCUREMENT",Y,145038,2016,"GLENS FALLS, NEW YORK",NA,NA
137,CERTIFIED,"PROFESSIONAL TOOL GRINDING, INC.",CHIEF EXECUTIVES,VP OF MANUFACTURING,Y,111842,2016,"SOUTH EASTON, MASSACHUSETTS",NA,NA
140,CERTIFIED,LIGHT & STAR USA INC,CHIEF EXECUTIVES,CHIEF FINANACIAL OFFICER,N,70000,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
142,CERTIFIED,ASCENTIUM CORPORATION,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER/CHIEF TECHNOLOGY OFFICER,Y,229133,2016,"SEATTLE, WASHINGTON",-122.3320708,47.6062095
145,CERTIFIED,"GLOBAL CONVERGENCE, INC.",CHIEF EXECUTIVES,SENIOR VICE PRESIDENT OF GLOBAL SERVICE DELIVERY,Y,113693,2016,"OLDSMAR, FLORIDA",-82.6650992,28.0341847
148,CERTIFIED,EXCLUSIVE RESORTS LLC,CHIEF EXECUTIVES,FULL-TIME CHAIRMAN OF THE BOARD,Y,187200,2016,"DENVER, COLORADO",-104.990251,39.7392358
149,CERTIFIED,"BON WORTH, INC.",CHIEF EXECUTIVES,CHIEF OPERATING OFFICER,Y,125424,2016,"HENDERSONVILLE, NORTH CAROLINA",NA,NA
150,CERTIFIED,"UT-BATTELLE, LLC (OAK RIDGE NATIONAL LABORATORY)",CHIEF EXECUTIVES,"DIRECTOR, BIOLOGY AND SOFT MATTER DIVISION",Y,178859,2016,"OAK RIDGE, TENNESSEE",-84.2696449,36.0103561
151,CERTIFIED,"ACME INTERNATIONAL, LLC",CHIEF EXECUTIVES,VICE PRESIDENT,Y,118061,2016,"SUNRISE, FLORIDA",-80.256595,26.1669711
154,CERTIFIED,PARKLOCO INC.,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,119184,2016,"BOSTON, MASSACHUSETTS",-71.0588801,42.3600825
158,CERTIFIED,FOSS WATERWAY SEAPORT,CHIEF EXECUTIVES,EXECUTIVE DIRECTOR,Y,89690,2016,"TACOMA, WASHINGTON",-122.4442906,47.2528768
161,CERTIFIED,GASTON J GLOCK STYLE LP,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,102190.4,2016,"SMYRNA, GEORGIA",-84.5143761,33.8839926
162,CERTIFIED,"T-LIGO USA, LLC",CHIEF EXECUTIVES,EXECUTIVE DIRECTOR,Y,136323.2,2016,"ORLANDO, FLORIDA",-81.3792365,28.5383355
163,CERTIFIED,GETMYRX INC.,CHIEF EXECUTIVES,CHIEF EXECUTIVE OFFICER,Y,159370,2016,"MIAMI, FLORIDA",-80.1917902,25.7616798
166,CERTIFIED,"MORRISON USA, LLC",CHIEF EXECUTIVES,CHIEF BUSINESS DEVELOPING OFFICER,Y,113090,2016,"MIAMI, FLORIDA",-80.1917902,25.7616798
168,CERTIFIED,LOS COMALES INC,CHIEF EXECUTIVES,CHIEF FINANCIAL OFFICER,Y,90875,2016,"GREELEY, COLORADO",-104.7091322,40.4233142
